Company Name,Industry,Symbol,yahoo finance symbol
3M India Ltd.,Diversified,3MINDIA,3MINDIA.NS
ABB India Ltd.,Capital Goods,ABB,ABB.NS
ACC Ltd.,Construction Materials,ACC,ACC.NS
AIA Engineering Ltd.,Capital Goods,AIAENG,AIAENG.NS
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,APLAPOLLO.NS
AU Small Finance Bank Ltd.,Financial Services,AUBANK,AUBANK.NS
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,AARTIDRUGS.NS
Aarti Industries Ltd.,Chemicals,AARTIIND,AARTIIND.NS
Aavas Financiers Ltd.,Financial Services,AAVAS,AAVAS.NS
Abbott India Ltd.,Healthcare,ABBOTINDIA,ABBOTINDIA.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,ADANIPORTS.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,ATGL.NS
Adani Transmission Ltd.,Power,ADANITRANS,ADANITRANS.NS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,ABFRL.NS
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,ABSLAMC.NS
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,ADVENZYMES,ADVENZYMES.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,AEGISCHEM.NS
Affle (India) Ltd.,Information Technology,AFFLE,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,AJANTPHARM.NS
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,APLLTD.NS
Alkem Laboratories Ltd.,Healthcare,ALKEM,ALKEM.NS
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,ALKYLAMINE.NS
Allcargo Logistics Ltd.,Services,ALLCARGO,ALLCARGO.NS
Alok Industries Ltd.,Textiles,ALOKINDS,ALOKINDS.NS
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,AMARAJABAT.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER,AMBER.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,AMBUJACEM.NS
Angel One Ltd.,Financial Services,ANGELONE,ANGELONE.NS
Anupam Rasayan India Ltd.,Chemicals,ANURAS,ANURAS.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,APOLLOHOSP.NS
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,APOLLOTYRE.NS
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,APTUS.NS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,ASAHIINDIA.NS
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,ASHOKLEY.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,ASIANPAINT.NS
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,ASTERDM.NS
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,ASTRAZEN.NS
Astral Ltd.,Capital Goods,ASTRAL,ASTRAL.NS
Atul Ltd.,Chemicals,ATUL,ATUL.NS
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,AUROPHARMA.NS
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,AVANTIFEED.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,DMART.NS
Axis Bank Ltd.,Financial Services,AXISBANK,AXISBANK.NS
BASF India Ltd.,Chemicals,BASF,BASF.NS
BSE Ltd.,Financial Services,BSE,BSE.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.NS
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,BAJAJELEC.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,BAJAJHLDNG.NS
Balaji Amines Ltd.,Chemicals,BALAMINES,BALAMINES.NS
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,BALKRISIND.NS
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,BALRAMCHIN.NS
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,BANDHANBNK.NS
Bank of Baroda,Financial Services,BANKBARODA,BANKBARODA.NS
Bank of India,Financial Services,BANKINDIA,BANKINDIA.NS
Bank of Maharashtra,Financial Services,MAHABANK,MAHABANK.NS
Bata India Ltd.,Consumer Durables,BATAINDIA,BATAINDIA.NS
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,BAYERCROP.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,BERGEPAINT.NS
Bharat Dynamics Ltd.,Capital Goods,BDL,BDL.NS
Bharat Electronics Ltd.,Capital Goods,BEL,BEL.NS
Bharat Forge Ltd.,Capital Goods,BHARATFORG,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,BHEL.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,BHARTIARTL.NS
Biocon Ltd.,Healthcare,BIOCON,BIOCON.NS
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,BIRLACORPN.NS
Birlasoft Ltd.,Information Technology,BSOFT,BSOFT.NS
Blue Dart Express Ltd.,Services,BLUEDART,BLUEDART.NS
Blue Star Ltd.,Consumer Durables,BLUESTARCO,BLUESTARCO.NS
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,BBTC.NS
Borosil Renewables Ltd.,Capital Goods,BORORENEW,BORORENEW.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,BOSCHLTD.NS
